freejoint_x,freejoint_y,freejoint_z,freejoint_rw,freejoint_rx,freejoint_ry,freejoint_rz,headr_w,headr_x,headr_y,headr_z,lclaviclery,lclaviclerz,lfemurr_w,lfemurr_x,lfemurr_y,lfemurr_z,lfootrx,lfootrz,lhumerusr_w,lhumerusr_x,lhumerusr_y,lhumerusr_z,lowerbackr_w,lowerbackr_x,lowerbackr_y,lowerbackr_z,lowerneckr_w,lowerneckr_x,lowerneckr_y,lowerneckr_z,lradiusrx,ltibiarx,ltoesrx,rclaviclery,rclaviclerz,rfemurr_w,rfemurr_x,rfemurr_y,rfemurr_z,rfootrx,rfootrz,rhumerusr_w,rhumerusr_x,rhumerusr_y,rhumerusr_z,rradiusrx,rtibiarx,rtoesrx,thoraxr_w,thoraxr_x,thoraxr_y,thoraxr_z,upperbackry,upperbackrz,upperneckr_w,upperneckr_x,upperneckr_y,upperneckr_z
0.2262765,4.496888,0.8878299,-0.9962786,0.01272477,0.05240926,0.06723224,0.9995997,-0.001765787,-0.02543066,0.01227101,0.03100944,-0.3070373,0.9660586,-0.2464528,0.05103847,0.05819711,-0.2261936,0.01509165,0.8037372,-0.4295464,-0.1869327,0.3668141,0.9986275,-0.03405014,0.0009948901,0.03978438,0.9985592,0.008721498,-0.01157282,0.05166842,0.5495462,0.2563323,-0.05733806,0.007665067,0.3138784,0.989421,0.1272447,0.01170436,0.06868751,-0.04551161,0.02308189,0.8630426,-0.2017356,0.09065619,-0.4541384,0.867781,0.6494176,-0.5400053,0.9972502,0.0004145551,0.06836271,-0.02860769,0.03840271,0.02774997,0.9997671,-0.006017126,0.02051411,0.002966575
0.2262222,4.50655,0.8888879,-0.9963011,0.01424155,0.05344412,0.06576568,0.9995971,-0.003896353,-0.02510247,0.01266209,0.03089811,-0.3072393,0.9670504,-0.2431195,0.04834766,0.058043,-0.2100926,0.02049914,0.8046954,-0.427832,-0.18568,0.3673527,0.9985965,-0.03575309,0.00202739,0.03902057,0.9985923,0.008882321,-0.01175339,0.05095525,0.5515482,0.2614221,-0.05140236,0.007195313,0.3140225,0.9902127,0.1198422,0.01284721,0.07036735,-0.000221938,0.01825103,0.861852,-0.2088936,0.09573387,-0.4521169,0.8723205,0.6787361,-0.5148685,0.997345,-0.001053407,0.06723493,-0.02795045,0.03654239,0.02787577,0.9997482,-0.006220596,0.02120975,0.003869428
0.226199,4.515989,0.8899895,-0.9963806,0.01540402,0.05377135,0.06400752,0.999594,-0.004590864,-0.02503259,0.01280977,0.02994755,-0.3075077,0.9679398,-0.2402825,0.04566282,0.0571998,-0.1965187,0.02490837,0.8058493,-0.4259357,-0.1843218,0.3677109,0.9986051,-0.03678798,0.002911419,0.03776282,0.9986268,0.008847866,-0.01180245,0.05026756,0.553634,0.2686336,-0.04623524,0.006555666,0.3142465,0.9909766,0.1125277,0.01404948,0.07145299,0.04652089,0.01373244,0.8605235,-0.2158296,0.1006468,-0.450319,0.8757384,0.706704,-0.4870774,0.9974349,-0.002485886,0.06604602,-0.0274864,0.03481722,0.02745236,0.9997256,-0.006770828,0.02189799,0.004822474
0.2261874,4.525295,0.8910524,-0.9965115,0.01702213,0.05355654,0.06169862,0.9995885,-0.006467308,-0.02461173,0.01323769,0.02886101,-0.3079656,0.9685526,-0.2387642,0.04229475,0.05575585,-0.1822635,0.02878392,0.8072054,-0.4233819,-0.1832183,0.3682366,0.9986066,-0.03814331,0.003715,0.03627876,0.9986663,0.008872654,-0.01183275,0.04946458,0.5550474,0.2778938,-0.04079133,0.005907811,0.3138479,0.9917696,0.1047057,0.01506939,0.07213059,0.09100696,0.01017676,0.85901,-0.2226385,0.1051108,-0.4488715,0.8771339,0.732883,-0.4555522,0.9975537,-0.003865273,0.06447278,-0.02673858,0.03286805,0.02603547,0.9997072,-0.006794144,0.02256662,0.005477649
0.2261709,4.53439,0.8920879,-0.99668,0.01827483,0.0528223,0.05920184,0.9995833,-0.007014864,-0.02458914,0.01339161,0.02708665,-0.3084039,0.9691123,-0.2375071,0.03898395,0.05377587,-0.170358,0.03168681,0.8087243,-0.4207354,-0.181991,0.3685457,0.998641,-0.03881942,0.004422882,0.03449211,0.9987096,0.008809634,-0.011725,0.04862266,0.5565087,0.2887518,-0.03611841,0.005070169,0.3134052,0.9924935,0.09723084,0.01619745,0.07239198,0.1310296,0.006977306,0.8574132,-0.2291469,0.1093489,-0.447635,0.8777217,0.7568153,-0.4226248,0.9976629,-0.005221445,0.06286675,-0.02625388,0.03100839,0.02442105,0.9996837,-0.007149789,0.02329834,0.006208818
0.226112,4.54336,0.8930613,-0.9968656,0.01977581,0.05193713,0.0563064,0.9995756,-0.008627768,-0.02416381,0.0137961,0.02543619,-0.3089797,0.9694857,-0.2370696,0.03515812,0.05156898,-0.1569867,0.03385651,0.8104087,-0.4175184,-0.180915,0.3690338,0.9986638,-0.03960553,0.005062501,0.03280732,0.998757,0.008861011,-0.01152178,0.04767831,0.5574739,0.3008861,-0.03142225,0.004300938,0.3124387,0.9931961,0.08954525,0.01694111,0.07249919,0.1584263,0.004100771,0.855748,-0.2353852,0.113098,-0.446652,0.8763887,0.7787024,-0.3889743,0.9977868,-0.006493549,0.06099406,-0.02567217,0.0287776,0.02246768,0.9996674,-0.007050602,0.0239128,0.006597191
0.2260144,4.552139,0.8940152,-0.9970599,0.02080976,0.05085492,0.05340718,0.9995685,-0.009053134,-0.02421628,0.01394699,0.02333199,-0.3096127,0.9698817,-0.2364775,0.03147002,0.04916915,-0.1453762,0.0352072,0.8122144,-0.4141822,-0.1796588,0.3694368,0.998714,-0.03966852,0.005652609,0.0310611,0.9988091,0.008876507,-0.01121969,0.04664388,0.5580131,0.3137426,-0.02746646,0.003489362,0.3114549,0.9938206,0.08220328,0.01780934,0.07242968,0.1772953,0.001538047,0.8541085,-0.2412534,0.1166262,-0.445751,0.8742868,0.7974717,-0.3561754,0.9979016,-0.007691635,0.05910561,-0.02529479,0.02671708,0.02069119,0.9996448,-0.007220748,0.02466804,0.007049421
0.2258709,4.560755,0.894979,-0.9972595,0.02177176,0.04967554,0.05031751,0.9995582,-0.01041778,-0.02387217,0.0143173,0.02149626,-0.310384,0.9702252,-0.236083,0.02744196,0.04663534,-0.1357,0.0363653,0.8141533,-0.4102838,-0.1784098,0.3701238,0.9987689,-0.03952993,0.006251904,0.02931032,0.9988625,0.009079925,-0.01075224,0.04555932,0.5578579,0.3271232,-0.0237502,0.00300156,0.3103359,0.9944279,0.07473321,0.01811303,0.07211066,0.1837585,-0.001028363,0.8525276,-0.2467578,0.1197305,-0.4449404,0.8700705,0.813501,-0.324785,0.9980195,-0.008778542,0.05708049,-0.02493712,0.02414937,0.01914623,0.9996316,-0.007068418,0.0252034,0.007171369
0.2256906,4.569169,0.8960002,-0.9974557,0.02227835,0.04833735,0.04742655,0.9995484,-0.01076743,-0.02402386,0.01448495,0.01929681,-0.3112677,0.9706408,-0.2352794,0.02374718,0.0440017,-0.1298973,0.03740526,0.8161672,-0.4062347,-0.1769344,0.370862,0.9988458,-0.03875325,0.006824399,0.02754305,0.9989192,0.009266808,-0.01024776,0.0443796,0.5568899,0.3404664,-0.02068452,0.002715459,0.3094333,0.9949964,0.06722641,0.01850133,0.07155802,0.1851898,-0.003543484,0.8510439,-0.2518881,0.1226609,-0.4441068,0.865052,0.8271164,-0.2945325,0.9981304,-0.009730814,0.05505906,-0.02468818,0.02192894,0.01771586,0.9996111,-0.007095635,0.02594186,0.007368438
0.225467,4.577412,0.897088,-0.9976507,0.02264131,0.04698717,0.0444136,0.9995353,-0.01186364,-0.02380384,0.01489213,0.01740225,-0.3121992,0.9710615,-0.2343774,0.01996345,0.0413303,-0.1274093,0.03859606,0.8182476,-0.4017055,-0.1754104,0.3719339,0.9989244,-0.03777583,0.007406677,0.02584983,0.9989755,0.009622035,-0.009506748,0.04318701,0.5553595,0.3536288,-0.01804141,0.002912082,0.3085951,0.9955577,0.05943841,0.01808253,0.07074665,0.1777919,-0.006903071,0.8496408,-0.2566211,0.1252202,-0.4433688,0.8579561,0.8392439,-0.2662178,0.9982415,-0.01049008,0.05293463,-0.02453091,0.01909925,0.01663213,0.9996017,-0.006842227,0.02640183,0.007247887
