freejoint_x,freejoint_y,freejoint_z,freejoint_rx,freejoint_ry,freejoint_rz,headr_x,headr_y,headr_z,lclaviclery,lclaviclerz,lfemurr_x,lfemurr_y,lfemurr_z,lfootrx,lfootrz,lhumerusr_x,lhumerusr_y,lhumerusr_z,lowerbackr_x,lowerbackr_y,lowerbackr_z,lowerneckr_x,lowerneckr_y,lowerneckr_z,lradiusrx,ltibiarx,ltoesrx,rclaviclery,rclaviclerz,rfemurr_x,rfemurr_y,rfemurr_z,rfootrx,rfootrz,rhumerusr_x,rhumerusr_y,rhumerusr_z,rradiusrx,rtibiarx,rtoesrx,thoraxr_x,thoraxr_y,thoraxr_z,upperbackry,upperbackrz,upperneckr_x,upperneckr_y,upperneckr_z
-0.01928521,1.965101,0.2000817,-0.3891456,-0.6834242,0.373867,-0.3088961,0.044756,0.05464787,0.05188154,0.02918668,1.906214,-0.871015,0.03939401,2.922829,1.066252,0.6894364,0.3101584,0.1962935,-0.5794655,0.4113263,-0.1487278,0.02230358,-0.06251796,-0.2420524,0.5337769,0.5721591,1.164681,-0.1450424,0.1034318,-2.59725,0.7104645,0.6995401,8.833668,-1.08965,-3.548484,0.4141685,0.7621362,1.299962,5.931267,3.965542,-0.5959563,-0.3000371,0.1135709,-0.3070812,0.2342128,-0.2518825,0.2598267,0.4293001
-0.01086706,1.93243,0.2116093,-0.5457683,-0.460191,0.6115751,-0.8462985,0.1413803,0.178288,-0.02226638,-0.0404051,1.326321,-1.122442,-0.2798532,3.220196,1.081499,0.939871,0.1303136,0.1196367,-0.6639344,0.4499491,-0.2912274,0.05708813,-0.07778054,-0.285657,0.4004115,1.017956,1.187142,-0.09395094,0.02882304,-2.946468,0.7374888,0.5502536,9.057934,-0.9661718,-3.562885,0.332669,0.6317486,0.9079071,5.863696,5.027358,-0.5906535,-0.4691524,0.2233037,-0.3720632,0.02515948,-0.08799744,0.2764144,0.3610841
-0.004641184,1.887794,0.2203051,-0.4166223,-0.1692996,0.7257424,-0.2758605,0.03119686,0.06614807,-0.1901116,-0.05367626,1.13789,-1.039625,-0.5530455,2.714779,0.8818464,1.034031,0.182917,0.03729843,-0.3984339,0.3872487,-0.490723,-0.01811856,-0.0211761,-0.275056,0.4171616,1.442308,1.033422,-0.1279294,0.04480845,-2.905566,0.7302065,0.3132882,9.348566,-0.9037192,-3.459516,0.3399767,0.5244704,0.6835724,5.593584,5.558224,-0.5706205,-0.4929299,0.1471033,-0.3450345,-0.08468261,-0.227114,0.2738995,0.3782021
-0.00231178,1.861066,0.2125914,-0.5999311,0.03277201,0.9596965,-0.7438425,0.1770487,0.1906877,-0.2173094,-0.09158817,0.5960659,-1.211187,-0.8690721,2.851053,0.7751094,1.255304,-0.009490601,-0.0302521,-0.5274879,0.3632934,-0.5825738,0.005361569,-0.01525507,-0.3215586,0.2826683,1.852023,1.088784,-0.129571,-0.07972442,-3.110952,0.6538957,0.1560658,8.897214,-0.7111347,-3.336768,0.2460515,0.3369026,0.2790977,5.23579,6.305042,-0.5526809,-0.6467304,0.2616606,-0.3898337,-0.283377,-0.0138225,0.2658101,0.26364
-0.003306446,1.819023,0.2070991,-0.4628217,0.2483655,1.031221,-0.2173107,0.01148116,0.06701845,-0.3548709,-0.08764803,0.5001305,-1.131084,-1.074504,2.381095,0.5805786,1.315152,0.06544311,-0.110054,-0.2566134,0.3197782,-0.7043697,-0.02718089,0.04150504,-0.3372555,0.2922612,2.171611,0.9345827,-0.1675285,-0.08852946,-2.964704,0.6697684,-0.009492185,8.004524,-0.639891,-3.191481,0.2446697,0.2419176,0.1175692,4.786468,6.585465,-0.536296,-0.6589139,0.1571181,-0.371932,-0.3228844,-0.1472774,0.2916059,0.2912124
-0.01178406,1.794028,0.1946743,-0.5568241,0.3001058,1.196916,-0.6386576,0.1774929,0.1788296,-0.3300924,-0.1151718,0.1572004,-1.28864,-1.220165,2.67425,0.4339402,1.518287,-0.08572013,-0.1435241,-0.3018573,0.2924664,-0.6647721,0.01988089,0.07707985,-0.3791332,0.193043,2.426852,0.9392325,-0.153846,-0.1933041,-3.057679,0.5174035,-0.05650533,5.479346,-0.575307,-3.006451,0.151553,0.1097795,-0.266616,4.377419,6.73011,-0.5023563,-0.7650151,0.1975431,-0.4461589,-0.3906747,0.03752235,0.2445029,0.1580221
-0.01951437,1.755813,0.1907741,-0.3748944,0.3893407,1.190473,-0.1689304,-0.01922387,0.06429709,-0.4208409,-0.1265849,0.2248196,-1.220437,-1.28022,2.322113,0.270138,1.597682,-0.02189456,-0.167552,-0.01308947,0.2641171,-0.6889939,0.006999519,0.1169611,-0.4153928,0.1078451,2.571306,0.7911578,-0.1623154,-0.1967672,-2.913551,0.5511274,-0.1265771,3.773804,-0.5125448,-2.834186,0.1486084,0.082207,-0.4203735,3.753862,6.559785,-0.4676906,-0.7697912,0.1176573,-0.4121029,-0.3552966,-0.07043225,0.3013873,0.181394
-0.02869297,1.723271,0.192765,-0.3443502,0.4281608,1.265884,-0.540154,0.1437571,0.1625816,-0.3671454,-0.1542758,0.1382474,-1.335113,-1.365813,1.935245,0.2316191,1.82167,-0.144755,-0.1365228,0.06764043,0.2653442,-0.6902708,0.08493499,0.1793536,-0.4368755,-0.03105159,2.676121,0.7432525,-0.0975604,-0.2238032,-2.978491,0.3223323,-0.207616,1.292642,-0.5132821,-2.624446,0.07466639,0.03781904,-0.8432541,3.205853,6.278067,-0.4214545,-0.8232346,0.1120343,-0.5135421,-0.308993,0.06117875,0.2134155,0.05184828
-0.03606223,1.682674,0.2042398,-0.1698615,0.502333,1.178888,-0.139106,-0.0594389,0.06979358,-0.4398904,-0.1767428,0.3111006,-1.204763,-1.369935,1.160537,0.2079921,1.920268,-0.09641751,-0.1045926,0.3226385,0.247362,-0.6959478,0.07858185,0.1941159,-0.4750231,-0.1936012,2.668629,0.6131367,-0.05722012,-0.1805045,-2.987806,0.3503475,-0.3022198,0.2862519,-0.5030243,-2.457401,0.07503036,0.06377341,-1.003701,2.72308,6.0505,-0.3652853,-0.8198768,0.07164396,-0.4440863,-0.2860742,-0.01080905,0.2950009,0.08067103
-0.04472448,1.648603,0.2175562,-0.1104382,0.5087342,1.224866,-0.4331569,0.09244121,0.1743582,-0.3789113,-0.1862891,0.3485795,-1.237523,-1.392127,0.4975878,0.2381589,2.118639,-0.2013009,-0.03156507,0.402772,0.2479067,-0.6656775,0.1499947,0.2855874,-0.4817208,-0.306071,2.632482,0.5286211,0.03932466,-0.1676438,-3.120721,0.03026691,-0.3853678,-1.479582,-0.6719173,-2.243415,0.02491975,0.02761677,-1.419195,2.425518,5.662945,-0.2851908,-0.8587421,0.03889964,-0.5659375,-0.2167456,0.1039038,0.1836111,-0.04423908
